Emoji,Name
U+1F332,evergreen-tree
U+1F333,deciduous-tree
U+1F334,palm-tree
U+1F335,cactus
U+1F33E,sheaf-of-rice
U+1F33F,herb
U+2618,shamrock
U+1F340,four-leaf-clover
U+1F341,maple-leaf
U+1F342,fallen-leaf
U+1F343,leaf-fluttering-in-wind
U+1FAB9,empty-nest
U+1FABA,nest-with-eggs
U+1F344,mushroom
U+1F347,grapes
U+1F348,melon
U+1F349,watermelon
U+1F34A,tangerine
U+1F34B,lemon
U+1F34B U+200D U+1F7E9,⊛-lime
U+1F34C,banana
U+1F34D,pineapple
U+1F96D,mango
U+1F34E,red-apple
U+1F34F,green-apple
U+1F350,pear
U+1F351,peach
U+1F352,cherries
U+1F353,strawberry
U+1FAD0,blueberries
U+1F95D,kiwi-fruit
U+1F345,tomato
U+1FAD2,olive
U+1F965,coconut
U+1F951,avocado
U+1F346,eggplant
U+1F954,potato
U+1F955,carrot
U+1F33D,ear-of-corn
U+1F336,hot-pepper
U+1FAD1,bell-pepper
U+1F952,cucumber
U+1F96C,leafy-green
U+1F966,broccoli
U+1F9C4,garlic
U+1F9C5,onion
U+1F95C,peanuts
U+1FAD8,beans
U+1F330,chestnut
U+1FADA,ginger-root
U+1FADB,pea-pod
U+1F344 U+200D U+1F7EB,⊛-brown-mushroom
U+1F35E,bread
U+1F950,croissant
U+1F956,baguette-bread
U+1FAD3,flatbread
U+1F968,pretzel
U+1F96F,bagel
U+1F95E,pancakes
U+1F9C7,waffle
U+1F9C0,cheese-wedge
U+1F356,meat-on-bone
U+1F357,poultry-leg
U+1F969,cut-of-meat
U+1F953,bacon
U+1F354,hamburger
U+1F35F,french-fries
U+1F355,pizza
U+1F32D,hot-dog
U+1F96A,sandwich
U+1F32E,taco
U+1F32F,burrito
U+1FAD4,tamale
U+1F959,stuffed-flatbread
U+1F9C6,falafel
U+1F95A,egg
U+1F373,cooking
U+1F958,shallow-pan-of-food
U+1F372,pot-of-food
U+1FAD5,fondue
U+1F963,bowl-with-spoon
U+1F957,green-salad
U+1F37F,popcorn
U+1F9C8,butter
U+1F9C2,salt
U+1F96B,canned-food
U+1F371,bento-box
U+1F358,rice-cracker
U+1F359,rice-ball
U+1F35A,cooked-rice
U+1F35B,curry-rice
U+1F35C,steaming-bowl
U+1F35D,spaghetti
U+1F360,roasted-sweet-potato
U+1F362,oden
U+1F363,sushi
U+1F364,fried-shrimp
U+1F365,fish-cake-with-swirl
U+1F96E,moon-cake
U+1F361,dango
U+1F95F,dumpling
U+1F960,fortune-cookie
U+1F961,takeout-box
U+1F980,crab
U+1F99E,lobster
U+1F990,shrimp
U+1F991,squid
U+1F9AA,oyster
U+1F366,soft-ice-cream
U+1F367,shaved-ice
U+1F368,ice-cream
U+1F369,doughnut
U+1F36A,cookie
U+1F382,birthday-cake
U+1F370,shortcake
U+1F9C1,cupcake
U+1F967,pie
U+1F36B,chocolate-bar
U+1F36C,candy
U+1F36D,lollipop
U+1F36E,custard
U+1F36F,honey-pot
U+1F37C,baby-bottle
U+1F95B,glass-of-milk
U+2615,hot-beverage
U+1FAD6,teapot
U+1F375,teacup-without-handle
U+1F376,sake
U+1F37E,bottle-with-popping-cork
U+1F377,wine-glass
U+1F378,cocktail-glass
U+1F379,tropical-drink
U+1F37A,beer-mug
U+1F37B,clinking-beer-mugs
U+1F942,clinking-glasses
U+1F943,tumbler-glass
U+1FAD7,pouring-liquid
U+1F964,cup-with-straw
U+1F9CB,bubble-tea
U+1F9C3,beverage-box
U+1F9C9,mate
U+1F9CA,ice
U+1F962,chopsticks
U+1F37D,fork-and-knife-with-plate
U+1F374,fork-and-knife
U+1F944,spoon
U+1F52A,kitchen-knife
U+1FAD9,jar
U+1F3FA,amphora
U+1F30D,globe-showing-europe-africa
U+1F30E,globe-showing-americas
U+1F30F,globe-showing-asia-australia
U+1F310,globe-with-meridians
U+1F5FA,world-map
U+1F5FE,map-of-japan
U+1F9ED,compass
U+1F3D4,snow-capped-mountain
U+26F0,mountain
U+1F30B,volcano
U+1F5FB,mount-fuji
U+1F3D5,camping
U+1F3D6,beach-with-umbrella
U+1F3DC,desert
U+1F3DD,desert-island
U+1F3DE,national-park
U+1F3DF,stadium
U+1F3DB,classical-building
U+1F3D7,building-construction
U+1F9F1,brick
U+1FAA8,rock
U+1FAB5,wood
U+1F6D6,hut
U+1F3D8,houses
U+1F3DA,derelict-house
U+1F3E0,house
U+1F3E1,house-with-garden
U+1F3E2,office-building
U+1F3E3,japanese-post-office
U+1F3E4,post-office
U+1F3E5,hospital
U+1F3E6,bank
U+1F3E8,hotel
U+1F3E9,love-hotel
U+1F3EA,convenience-store
U+1F3EB,school
U+1F3EC,department-store
U+1F3ED,factory
U+1F3EF,japanese-castle
U+1F3F0,castle
U+1F492,wedding
U+1F5FC,tokyo-tower
U+1F5FD,statue-of-liberty
U+26EA,church
U+1F54C,mosque
U+1F6D5,hindu-temple
U+1F54D,synagogue
U+26E9,shinto-shrine
U+1F54B,kaaba
U+26F2,fountain
U+26FA,tent
U+1F301,foggy
U+1F303,night-with-stars
U+1F3D9,cityscape
U+1F304,sunrise-over-mountains
U+1F305,sunrise
U+1F306,cityscape-at-dusk
U+1F307,sunset
U+1F309,bridge-at-night
U+2668,hot-springs
U+1F3A0,carousel-horse
U+1F6DD,playground-slide
U+1F3A1,ferris-wheel
U+1F3A2,roller-coaster
U+1F488,barber-pole
U+1F3AA,circus-tent
U+1F682,locomotive
U+1F683,railway-car
U+1F684,high-speed-train
U+1F685,bullet-train
U+1F686,train
U+1F687,metro
U+1F688,light-rail
U+1F689,station
U+1F68A,tram
U+1F69D,monorail
U+1F69E,mountain-railway
U+1F68B,tram-car
U+1F68C,bus
U+1F68D,oncoming-bus
U+1F68E,trolleybus
U+1F690,minibus
U+1F691,ambulance
U+1F692,fire-engine
U+1F693,police-car
U+1F694,oncoming-police-car
U+1F695,taxi
U+1F696,oncoming-taxi
U+1F697,automobile
U+1F698,oncoming-automobile
U+1F699,sport-utility-vehicle
U+1F6FB,pickup-truck
U+1F69A,delivery-truck
U+1F69B,articulated-lorry
U+1F69C,tractor
U+1F3CE,racing-car
U+1F3CD,motorcycle
U+1F6F5,motor-scooter
U+1F9BD,manual-wheelchair
U+1F9BC,motorized-wheelchair
U+1F6FA,auto-rickshaw
U+1F6B2,bicycle
U+1F6F4,kick-scooter
U+1F6F9,skateboard
U+1F6FC,roller-skate
U+1F68F,bus-stop
U+1F6E3,motorway
U+1F6E4,railway-track
U+1F6E2,oil-drum
U+26FD,fuel-pump
U+1F6DE,wheel
U+1F6A8,police-car-light
U+1F6A5,horizontal-traffic-light
U+1F6A6,vertical-traffic-light
U+1F6D1,stop-sign
U+1F6A7,construction
U+2693,anchor
U+1F6DF,ring-buoy
U+26F5,sailboat
U+1F6F6,canoe
U+1F6A4,speedboat
U+1F6F3,passenger-ship
U+26F4,ferry
U+1F6E5,motor-boat
U+1F6A2,ship
U+2708,airplane
U+1F6E9,small-airplane
U+1F6EB,airplane-departure
U+1F6EC,airplane-arrival
U+1FA82,parachute
U+1F4BA,seat
U+1F681,helicopter
U+1F69F,suspension-railway
U+1F6A0,mountain-cableway
U+1F6A1,aerial-tramway
U+1F6F0,satellite
U+1F680,rocket
U+1F6F8,flying-saucer
U+1F6CE,bellhop-bell
U+1F9F3,luggage
U+231B,hourglass-done
U+23F3,hourglass-not-done
U+231A,watch
U+23F0,alarm-clock
U+23F1,stopwatch
U+23F2,timer-clock
U+1F570,mantelpiece-clock
U+1F55B,twelve-o’clock
U+1F567,twelve-thirty
U+1F550,one-o’clock
U+1F55C,one-thirty
U+1F551,two-o’clock
U+1F55D,two-thirty
U+1F552,three-o’clock
U+1F55E,three-thirty
U+1F553,four-o’clock
U+1F55F,four-thirty
U+1F554,five-o’clock
U+1F560,five-thirty
U+1F555,six-o’clock
U+1F561,six-thirty
U+1F556,seven-o’clock
U+1F562,seven-thirty
U+1F557,eight-o’clock
U+1F563,eight-thirty
U+1F558,nine-o’clock
U+1F564,nine-thirty
U+1F559,ten-o’clock
U+1F565,ten-thirty
U+1F55A,eleven-o’clock
U+1F566,eleven-thirty
U+1F311,new-moon
U+1F312,waxing-crescent-moon
U+1F313,first-quarter-moon
U+1F314,waxing-gibbous-moon
U+1F315,full-moon
U+1F316,waning-gibbous-moon
U+1F317,last-quarter-moon
U+1F318,waning-crescent-moon
U+1F319,crescent-moon
U+1F31A,new-moon-face
U+1F31B,first-quarter-moon-face
U+1F31C,last-quarter-moon-face
U+1F321,thermometer
U+2600,sun
U+1F31D,full-moon-face
U+1F31E,sun-with-face
U+1FA90,ringed-planet
U+2B50,star
U+1F31F,glowing-star
U+1F320,shooting-star
U+1F30C,milky-way
U+2601,cloud
U+26C5,sun-behind-cloud
U+26C8,cloud-with-lightning-and-rain
U+1F324,sun-behind-small-cloud
U+1F325,sun-behind-large-cloud
U+1F326,sun-behind-rain-cloud
U+1F327,cloud-with-rain
U+1F328,cloud-with-snow
U+1F329,cloud-with-lightning
U+1F32A,tornado
U+1F32B,fog
U+1F32C,wind-face
U+1F300,cyclone
U+1F308,rainbow
U+1F302,closed-umbrella
U+2602,umbrella
U+2614,umbrella-with-rain-drops
U+26F1,umbrella-on-ground
U+26A1,high-voltage
U+2744,snowflake
U+2603,snowman
U+26C4,snowman-without-snow
U+2604,comet
U+1F525,fire
U+1F4A7,droplet
U+1F30A,water-wave
U+1F383,jack-o-lantern
U+1F384,christmas-tree
U+1F386,fireworks
U+1F387,sparkler
U+1F9E8,firecracker
U+2728,sparkles
U+1F388,balloon
U+1F389,party-popper
U+1F38A,confetti-ball
U+1F38B,tanabata-tree
U+1F38D,pine-decoration
U+1F38E,japanese-dolls
U+1F38F,carp-streamer
U+1F390,wind-chime
U+1F391,moon-viewing-ceremony
U+1F9E7,red-envelope
U+1F380,ribbon
U+1F381,wrapped-gift
U+1F397,reminder-ribbon
U+1F39F,admission-tickets
U+1F3AB,ticket
U+1F396,military-medal
U+1F3C6,trophy
U+1F3C5,sports-medal
U+1F947,1st-place-medal
U+1F948,2nd-place-medal
U+1F949,3rd-place-medal
U+26BD,soccer-ball
U+26BE,baseball
U+1F94E,softball
U+1F3C0,basketball
U+1F3D0,volleyball
U+1F3C8,american-football
U+1F3C9,rugby-football
U+1F3BE,tennis
U+1F94F,flying-disc
U+1F3B3,bowling
U+1F3CF,cricket-game
U+1F3D1,field-hockey
U+1F3D2,ice-hockey
U+1F94D,lacrosse
U+1F3D3,ping-pong
U+1F3F8,badminton
U+1F94A,boxing-glove
U+1F94B,martial-arts-uniform
U+1F945,goal-net
U+26F3,flag-in-hole
U+26F8,ice-skate
U+1F3A3,fishing-pole
U+1F93F,diving-mask
U+1F3BD,running-shirt
U+1F3BF,skis
U+1F6F7,sled
U+1F94C,curling-stone
U+1F3AF,bullseye
U+1FA80,yo-yo
U+1FA81,kite
U+1F52B,water-pistol
U+1F3B1,pool-8-ball
U+1F52E,crystal-ball
U+1FA84,magic-wand
U+1F3AE,video-game
U+1F579,joystick
U+1F3B0,slot-machine
U+1F3B2,game-die
U+1F9E9,puzzle-piece
U+1F9F8,teddy-bear
U+1FA85,piñata
U+1FAA9,mirror-ball
U+1FA86,nesting-dolls
U+2660,spade-suit
U+2665,heart-suit
U+2666,diamond-suit
U+2663,club-suit
U+265F,chess-pawn
U+1F0CF,joker
U+1F004,mahjong-red-dragon
U+1F3B4,flower-playing-cards
U+1F3AD,performing-arts
U+1F5BC,framed-picture
U+1F3A8,artist-palette
U+1F9F5,thread
U+1FAA1,sewing-needle
U+1F9F6,yarn
U+1FAA2,knot
U+1F453,glasses
U+1F576,sunglasses
U+1F97D,goggles
U+1F97C,lab-coat
U+1F9BA,safety-vest
U+1F454,necktie
U+1F455,t-shirt
U+1F456,jeans
U+1F9E3,scarf
U+1F9E4,gloves
U+1F9E5,coat
U+1F9E6,socks
U+1F457,dress
U+1F458,kimono
U+1F97B,sari
U+1FA71,one-piece-swimsuit
U+1FA72,briefs
U+1FA73,shorts
U+1F459,bikini
U+1F45A,woman’s-clothes
U+1FAAD,folding-hand-fan
U+1F45B,purse
U+1F45C,handbag
U+1F45D,clutch-bag
U+1F6CD,shopping-bags
U+1F392,backpack
U+1FA74,thong-sandal
U+1F45E,man’s-shoe
U+1F45F,running-shoe
U+1F97E,hiking-boot
U+1F97F,flat-shoe
U+1F460,high-heeled-shoe
U+1F461,woman’s-sandal
U+1FA70,ballet-shoes
U+1F462,woman’s-boot
U+1FAAE,hair-pick
U+1F451,crown
U+1F452,woman’s-hat
U+1F3A9,top-hat
U+1F393,graduation-cap
U+1F9E2,billed-cap
U+1FA96,military-helmet
U+26D1,rescue-worker’s-helmet
U+1F4FF,prayer-beads
U+1F484,lipstick
U+1F48D,ring
U+1F48E,gem-stone
U+1F507,muted-speaker
U+1F508,speaker-low-volume
U+1F509,speaker-medium-volume
U+1F50A,speaker-high-volume
U+1F4E2,loudspeaker
U+1F4E3,megaphone
U+1F4EF,postal-horn
U+1F514,bell
U+1F515,bell-with-slash
U+1F3BC,musical-score
U+1F3B5,musical-note
U+1F3B6,musical-notes
U+1F399,studio-microphone
U+1F39A,level-slider
U+1F39B,control-knobs
U+1F3A4,microphone
U+1F3A7,headphone
U+1F4FB,radio
U+1F3B7,saxophone
U+1FA97,accordion
U+1F3B8,guitar
U+1F3B9,musical-keyboard
U+1F3BA,trumpet
U+1F3BB,violin
U+1FA95,banjo
U+1F941,drum
U+1FA98,long-drum
U+1FA87,maracas
U+1FA88,flute
U+1F4F1,mobile-phone
U+1F4F2,mobile-phone-with-arrow
U+260E,telephone
U+1F4DE,telephone-receiver
U+1F4DF,pager
U+1F4E0,fax-machine
U+1F50B,battery
U+1FAAB,low-battery
U+1F50C,electric-plug
U+1F4BB,laptop
U+1F5A5,desktop-computer
U+1F5A8,printer
U+2328,keyboard
U+1F5B1,computer-mouse
U+1F5B2,trackball
U+1F4BD,computer-disk
U+1F4BE,floppy-disk
U+1F4BF,optical-disk
U+1F4C0,dvd
U+1F9EE,abacus
U+1F3A5,movie-camera
U+1F39E,film-frames
U+1F4FD,film-projector
U+1F3AC,clapper-board
U+1F4FA,television
U+1F4F7,camera
U+1F4F8,camera-with-flash
U+1F4F9,video-camera
U+1F4FC,videocassette
U+1F50D,magnifying-glass-tilted-left
U+1F50E,magnifying-glass-tilted-right
U+1F56F,candle
U+1F4A1,light-bulb
U+1F526,flashlight
U+1F3EE,red-paper-lantern
U+1FA94,diya-lamp
U+1F4D4,notebook-with-decorative-cover
U+1F4D5,closed-book
U+1F4D6,open-book
U+1F4D7,green-book
U+1F4D8,blue-book
U+1F4D9,orange-book
U+1F4DA,books
U+1F4D3,notebook
U+1F4D2,ledger
U+1F4C3,page-with-curl
U+1F4DC,scroll
U+1F4C4,page-facing-up
U+1F4F0,newspaper
U+1F5DE,rolled-up-newspaper
U+1F4D1,bookmark-tabs
U+1F516,bookmark
U+1F3F7,label
U+1F4B0,money-bag
U+1FA99,coin
U+1F4B4,yen-banknote
U+1F4B5,dollar-banknote
U+1F4B6,euro-banknote
U+1F4B7,pound-banknote
U+1F4B8,money-with-wings
U+1F4B3,credit-card
U+1F9FE,receipt
U+1F4B9,chart-increasing-with-yen
U+2709,envelope
U+1F4E7,e-mail
U+1F4E8,incoming-envelope
U+1F4E9,envelope-with-arrow
U+1F4E4,outbox-tray
U+1F4E5,inbox-tray
U+1F4E6,package
U+1F4EB,closed-mailbox-with-raised-flag
U+1F4EA,closed-mailbox-with-lowered-flag
U+1F4EC,open-mailbox-with-raised-flag
U+1F4ED,open-mailbox-with-lowered-flag
U+1F4EE,postbox
U+1F5F3,ballot-box-with-ballot
U+270F,pencil
U+2712,black-nib
U+1F58B,fountain-pen
U+1F58A,pen
U+1F58C,paintbrush
U+1F58D,crayon
U+1F4DD,memo
U+1F4BC,briefcase
U+1F4C1,file-folder
U+1F4C2,open-file-folder
U+1F5C2,card-index-dividers
U+1F4C5,calendar
U+1F4C6,tear-off-calendar
U+1F5D2,spiral-notepad
U+1F5D3,spiral-calendar
U+1F4C7,card-index
U+1F4C8,chart-increasing
U+1F4C9,chart-decreasing
U+1F4CA,bar-chart
U+1F4CB,clipboard
U+1F4CC,pushpin
U+1F4CD,round-pushpin
U+1F4CE,paperclip
U+1F587,linked-paperclips
U+1F4CF,straight-ruler
U+1F4D0,triangular-ruler
U+2702,scissors
U+1F5C3,card-file-box
U+1F5C4,file-cabinet
U+1F5D1,wastebasket
U+1F512,locked
U+1F513,unlocked
U+1F50F,locked-with-pen
U+1F510,locked-with-key
U+1F511,key
U+1F5DD,old-key
U+1F528,hammer
U+1FA93,axe
U+26CF,pick
U+2692,hammer-and-pick
U+1F6E0,hammer-and-wrench
U+1F5E1,dagger
U+2694,crossed-swords
U+1F4A3,bomb
U+1FA83,boomerang
U+1F3F9,bow-and-arrow
U+1F6E1,shield
U+1FA9A,carpentry-saw
U+1F527,wrench
U+1FA9B,screwdriver
U+1F529,nut-and-bolt
U+2699,gear
U+1F5DC,clamp
U+2696,balance-scale
U+1F9AF,white-cane
U+1F517,link
U+26D3 U+FE0F U+200D U+1F4A5,⊛-broken-chain
U+26D3,chains
U+1FA9D,hook
U+1F9F0,toolbox
U+1F9F2,magnet
U+1FA9C,ladder
U+2697,alembic
U+1F9EA,test-tube
U+1F9EB,petri-dish
U+1F9EC,dna
U+1F52C,microscope
U+1F52D,telescope
U+1F4E1,satellite-antenna
U+1F489,syringe
U+1FA78,drop-of-blood
U+1F48A,pill
U+1FA79,adhesive-bandage
U+1FA7C,crutch
U+1FA7A,stethoscope
U+1FA7B,x-ray
U+1F6AA,door
U+1F6D7,elevator
U+1FA9E,mirror
U+1FA9F,window
U+1F6CF,bed
U+1F6CB,couch-and-lamp
U+1FA91,chair
U+1F6BD,toilet
U+1FAA0,plunger
U+1F6BF,shower
U+1F6C1,bathtub
U+1FAA4,mouse-trap
U+1FA92,razor
U+1F9F4,lotion-bottle
U+1F9F7,safety-pin
U+1F9F9,broom
U+1F9FA,basket
U+1F9FB,roll-of-paper
U+1FAA3,bucket
U+1F9FC,soap
U+1FAE7,bubbles
U+1FAA5,toothbrush
U+1F9FD,sponge
U+1F9EF,fire-extinguisher
U+1F6D2,shopping-cart
U+1F6AC,cigarette
U+26B0,coffin
U+1FAA6,headstone
U+26B1,funeral-urn
U+1F9FF,nazar-amulet
U+1FAAC,hamsa
U+1F5FF,moai
U+1FAA7,placard
U+1FAAA,identification-card
U+1F3E7,atm-sign
U+1F6AE,litter-in-bin-sign
U+1F6B0,potable-water
U+267F,wheelchair-symbol
U+1F6B9,men’s-room
U+1F6BA,women’s-room
U+1F6BB,restroom
U+1F6BC,baby-symbol
U+1F6BE,water-closet
U+1F6C2,passport-control
U+1F6C3,customs
U+1F6C4,baggage-claim
U+1F6C5,left-luggage
U+26A0,warning
U+1F6B8,children-crossing
U+26D4,no-entry
U+1F6AB,prohibited
U+1F6B3,no-bicycles
U+1F6AD,no-smoking
U+1F6AF,no-littering
U+1F6B1,non-potable-water
U+1F6B7,no-pedestrians
U+1F4F5,no-mobile-phones
U+1F51E,no-one-under-eighteen
U+2622,radioactive
U+2623,biohazard
U+2B06,up-arrow
U+2197,up-right-arrow
U+27A1,right-arrow
U+2198,down-right-arrow
U+2B07,down-arrow
U+2199,down-left-arrow
U+2B05,left-arrow
U+2196,up-left-arrow
U+2195,up-down-arrow
U+2194,left-right-arrow
U+21A9,right-arrow-curving-left
U+21AA,left-arrow-curving-right
U+2934,right-arrow-curving-up
U+2935,right-arrow-curving-down
U+1F503,clockwise-vertical-arrows
U+1F504,counterclockwise-arrows-button
U+1F519,back-arrow
U+1F51A,end-arrow
U+1F51B,on!-arrow
U+1F51C,soon-arrow
U+1F51D,top-arrow
U+1F6D0,place-of-worship
U+269B,atom-symbol
U+1F549,om
U+2721,star-of-david
U+2638,wheel-of-dharma
U+262F,yin-yang
U+271D,latin-cross
U+2626,orthodox-cross
U+262A,star-and-crescent
U+262E,peace-symbol
U+1F54E,menorah
U+1F52F,dotted-six-pointed-star
U+1FAAF,khanda
U+2648,aries
U+2649,taurus
U+264A,gemini
U+264B,cancer
U+264C,leo
U+264D,virgo
U+264E,libra
U+264F,scorpio
U+2650,sagittarius
U+2651,capricorn
U+2652,aquarius
U+2653,pisces
U+26CE,ophiuchus
U+1F500,shuffle-tracks-button
U+1F501,repeat-button
U+1F502,repeat-single-button
U+25B6,play-button
U+23E9,fast-forward-button
U+23ED,next-track-button
U+23EF,play-or-pause-button
U+25C0,reverse-button
U+23EA,fast-reverse-button
U+23EE,last-track-button
U+1F53C,upwards-button
U+23EB,fast-up-button
U+1F53D,downwards-button
U+23EC,fast-down-button
U+23F8,pause-button
U+23F9,stop-button
U+23FA,record-button
U+23CF,eject-button
U+1F3A6,cinema
U+1F505,dim-button
U+1F506,bright-button
U+1F4F6,antenna-bars
U+1F6DC,wireless
U+1F4F3,vibration-mode
U+1F4F4,mobile-phone-off
U+2640,female-sign
U+2642,male-sign
U+26A7,transgender-symbol
U+2716,multiply
U+2795,plus
U+2796,minus
U+2797,divide
U+1F7F0,heavy-equals-sign
U+267E,infinity
U+203C,double-exclamation-mark
U+2049,exclamation-question-mark
U+2753,red-question-mark
U+2754,white-question-mark
U+2755,white-exclamation-mark
U+2757,red-exclamation-mark
U+3030,wavy-dash
U+1F4B1,currency-exchange
U+1F4B2,heavy-dollar-sign
U+2695,medical-symbol
U+267B,recycling-symbol
U+269C,fleur-de-lis
U+1F531,trident-emblem
U+1F4DB,name-badge
U+1F530,japanese-symbol-for-beginner
U+2B55,hollow-red-circle
U+2705,check-mark-button
U+2611,check-box-with-check
U+2714,check-mark
U+274C,cross-mark
U+274E,cross-mark-button
U+27B0,curly-loop
U+27BF,double-curly-loop
U+303D,part-alternation-mark
U+2733,eight-spoked-asterisk
U+2734,eight-pointed-star
U+2747,sparkle
U+00A9,copyright
U+00AE,registered
U+2122,trade-mark
U+0023 U+FE0F U+20E3,keycap-#
U+002A U+FE0F U+20E3,keycap-*
U+0030 U+FE0F U+20E3,keycap-0
U+0031 U+FE0F U+20E3,keycap-1
U+0032 U+FE0F U+20E3,keycap-2
U+0033 U+FE0F U+20E3,keycap-3
U+0034 U+FE0F U+20E3,keycap-4
U+0035 U+FE0F U+20E3,keycap-5
U+0036 U+FE0F U+20E3,keycap-6
U+0037 U+FE0F U+20E3,keycap-7
U+0038 U+FE0F U+20E3,keycap-8
U+0039 U+FE0F U+20E3,keycap-9
U+1F51F,keycap-10
U+1F520,input-latin-uppercase
U+1F521,input-latin-lowercase
U+1F522,input-numbers
U+1F523,input-symbols
U+1F524,input-latin-letters
U+1F170,a-button-(blood-type)
U+1F18E,ab-button-(blood-type)
U+1F171,b-button-(blood-type)
U+1F191,cl-button
U+1F192,cool-button
U+1F193,free-button
U+2139,information
U+1F194,id-button
U+24C2,circled-m
U+1F195,new-button
U+1F196,ng-button
U+1F17E,o-button-(blood-type)
U+1F197,ok-button
U+1F17F,p-button
U+1F198,sos-button
U+1F199,up!-button
U+1F19A,vs-button
U+1F201,japanese-“here”-button
U+1F202,japanese-“service-charge”-button
U+1F237,japanese-“monthly-amount”-button
U+1F236,japanese-“not-free-of-charge”-button
U+1F22F,japanese-“reserved”-button
U+1F250,japanese-“bargain”-button
U+1F239,japanese-“discount”-button
U+1F21A,japanese-“free-of-charge”-button
U+1F232,japanese-“prohibited”-button
U+1F251,japanese-“acceptable”-button
U+1F238,japanese-“application”-button
U+1F234,japanese-“passing-grade”-button
U+1F233,japanese-“vacancy”-button
U+3297,japanese-“congratulations”-button
U+3299,japanese-“secret”-button
U+1F23A,japanese-“open-for-business”-button
U+1F235,japanese-“no-vacancy”-button
U+1F534,red-circle
U+1F7E0,orange-circle
U+1F7E1,yellow-circle
U+1F7E2,green-circle
U+1F535,blue-circle
U+1F7E3,purple-circle
U+1F7E4,brown-circle
U+26AB,black-circle
U+26AA,white-circle
U+1F7E5,red-square
U+1F7E7,orange-square
U+1F7E8,yellow-square
U+1F7E9,green-square
U+1F7E6,blue-square
U+1F7EA,purple-square
U+1F7EB,brown-square
U+2B1B,black-large-square
U+2B1C,white-large-square
U+25FC,black-medium-square
U+25FB,white-medium-square
U+25FE,black-medium-small-square
U+25FD,white-medium-small-square
U+25AA,black-small-square
U+25AB,white-small-square
U+1F536,large-orange-diamond
U+1F537,large-blue-diamond
U+1F538,small-orange-diamond
U+1F539,small-blue-diamond
U+1F53A,red-triangle-pointed-up
U+1F53B,red-triangle-pointed-down
U+1F4A0,diamond-with-a-dot
U+1F518,radio-button
U+1F533,white-square-button
U+1F532,black-square-button
U+1F3C1,chequered-flag
U+1F6A9,triangular-flag
U+1F38C,crossed-flags
U+1F3F4,black-flag
U+1F3F3,white-flag
U+1F3F3 U+FE0F U+200D U+1F308,rainbow-flag
U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,transgender-flag
U+1F3F4 U+200D U+2620 U+FE0F,pirate-flag
U+1F1E6 U+1F1E8,flag-ascension-island
U+1F1E6 U+1F1E9,flag-andorra
U+1F1E6 U+1F1EA,flag-united-arab-emirates
U+1F1E6 U+1F1EB,flag-afghanistan
U+1F1E6 U+1F1EC,flag-antigua-&-barbuda
U+1F1E6 U+1F1EE,flag-anguilla
U+1F1E6 U+1F1F1,flag-albania
U+1F1E6 U+1F1F2,flag-armenia
U+1F1E6 U+1F1F4,flag-angola
U+1F1E6 U+1F1F6,flag-antarctica
U+1F1E6 U+1F1F7,flag-argentina
U+1F1E6 U+1F1F8,flag-american-samoa
U+1F1E6 U+1F1F9,flag-austria
U+1F1E6 U+1F1FA,flag-australia
U+1F1E6 U+1F1FC,flag-aruba
U+1F1E6 U+1F1FD,flag-åland-islands
U+1F1E6 U+1F1FF,flag-azerbaijan
U+1F1E7 U+1F1E6,flag-bosnia-&-herzegovina
U+1F1E7 U+1F1E7,flag-barbados
U+1F1E7 U+1F1E9,flag-bangladesh
U+1F1E7 U+1F1EA,flag-belgium
U+1F1E7 U+1F1EB,flag-burkina-faso
U+1F1E7 U+1F1EC,flag-bulgaria
U+1F1E7 U+1F1ED,flag-bahrain
U+1F1E7 U+1F1EE,flag-burundi
U+1F1E7 U+1F1EF,flag-benin
U+1F1E7 U+1F1F1,flag-st.-barthélemy
U+1F1E7 U+1F1F2,flag-bermuda
U+1F1E7 U+1F1F3,flag-brunei
U+1F1E7 U+1F1F4,flag-bolivia
U+1F1E7 U+1F1F6,flag-caribbean-netherlands
U+1F1E7 U+1F1F7,flag-brazil
U+1F1E7 U+1F1F8,flag-bahamas
U+1F1E7 U+1F1F9,flag-bhutan
U+1F1E7 U+1F1FB,flag-bouvet-island
U+1F1E7 U+1F1FC,flag-botswana
U+1F1E7 U+1F1FE,flag-belarus
U+1F1E7 U+1F1FF,flag-belize
U+1F1E8 U+1F1E6,flag-canada
U+1F1E8 U+1F1E8,flag-cocos-(keeling)-islands
U+1F1E8 U+1F1E9,flag-congo---kinshasa
U+1F1E8 U+1F1EB,flag-central-african-republic
U+1F1E8 U+1F1EC,flag-congo---brazzaville
U+1F1E8 U+1F1ED,flag-switzerland
U+1F1E8 U+1F1EE,flag-côte-d’ivoire
U+1F1E8 U+1F1F0,flag-cook-islands
U+1F1E8 U+1F1F1,flag-chile
U+1F1E8 U+1F1F2,flag-cameroon
U+1F1E8 U+1F1F3,flag-china
U+1F1E8 U+1F1F4,flag-colombia
U+1F1E8 U+1F1F5,flag-clipperton-island
U+1F1E8 U+1F1F7,flag-costa-rica
U+1F1E8 U+1F1FA,flag-cuba
U+1F1E8 U+1F1FB,flag-cape-verde
U+1F1E8 U+1F1FC,flag-curaçao
U+1F1E8 U+1F1FD,flag-christmas-island
U+1F1E8 U+1F1FE,flag-cyprus
